scenario_id,arc_id,uav_id,predecessor_node,successor_node,departure_time_s,arrival_deadline_s,transition_distance_m,available_transition_time_s,transition_turn_proxy_rad,maximum_radius_along_transition_m,operating_radius_status
S2-SHO-SUR,UAV-2::N::UAV-2::S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M4+SHO-SUR-M5+SHO-SUR-M6::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M4+SHO-SUR-M5+SHO-SUR-M6::UAV-2,T::UAV-2,49,49,0,0,0,2469.817807046,PASS
S2-SHO-SUR,UAV-2::S::UAV-2->N::UAV-2::S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M2+SHO-SUR-M5+SHO-SUR-M6::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M2+SHO-SUR-M5+SHO-SUR-M6::UAV-2,0,41,588.727441181,41,2.412123025,1888.279640308,PASS
S2-SHO-SUR,UAV-2::S::UAV-2->N::UAV-2::S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M4+SHO-SUR-M5+SHO-SUR-M6::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-SHO-SUR::T-Q2-TWO::SHO-SUR-M4+SHO-SUR-M5+SHO-SUR-M6::UAV-2,0,35,588.727441181,35,2.412123025,1888.279640308,PASS
S2-SHO-SUR,UAV-4::N::UAV-4::S2-SHO-SUR::T-Q1-SINGLE::SHO-SUR-M3::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-SHO-SUR::T-Q1-SINGLE::SHO-SUR-M3::UAV-4,T::UAV-4,91,91,0,0,0,2647.640458975,PASS
S2-SHO-SUR,UAV-4::N::UAV-4::S2-SHO-SUR::T-Q1-SINGLE::SHO-SUR-M4::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-SHO-SUR::T-Q1-SINGLE::SHO-SUR-M4::UAV-4,T::UAV-4,52,52,0,0,0,2647.640458975,PASS
S2-SHO-SUR,UAV-4::S::UAV-4->N::UAV-4::S2-SHO-SUR::T-Q1-SINGLE::SHO-SUR-M3::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-SHO-SUR::T-Q1-SINGLE::SHO-SUR-M3::UAV-4,0,80,947.048045244,80,0.757091191,2334.180798482,PASS
S2-SHO-SUR,UAV-4::S::UAV-4->N::UAV-4::S2-SHO-SUR::T-Q1-SINGLE::SHO-SUR-M4::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-SHO-SUR::T-Q1-SINGLE::SHO-SUR-M4::UAV-4,0,41,947.048045244,41,0.757091191,2334.180798482,PASS
S2-SUF-OVR,UAV-1::N::UAV-1::S2-SUF-OVR::T-Q1-SINGLE::SUF-OVR-M1::UAV-1->T::UAV-1,UAV-1,N::UAV-1::S2-SUF-OVR::T-Q1-SINGLE::SUF-OVR-M1::UAV-1,T::UAV-1,53,53,0,0,0,2400,PASS
S2-SUF-OVR,UAV-1::S::UAV-1->N::UAV-1::S2-SUF-OVR::T-Q1-SINGLE::SUF-OVR-M1::UAV-1,UAV-1,S::UAV-1,N::UAV-1::S2-SUF-OVR::T-Q1-SINGLE::SUF-OVR-M1::UAV-1,0,42,680,42,0,2080,PASS
S2-SUF-OVR,UAV-2::N::UAV-2::S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-2,T::UAV-2,49.25,49.25,0,0,0,2469.817807046,PASS
S2-SUF-OVR,UAV-2::S::UAV-2->N::UAV-2::S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-SUF-OVR::T-Q2-TWO::SUF-OVR-M1+SUF-OVR-M2+SUF-OVR-M3+SUF-OVR-M4::UAV-2,0,35.25,588.727441181,35.25,2.412123025,1888.279640308,PASS
S2-SUF-OVR,UAV-4::N::UAV-4::S2-SUF-OVR::T-Q1-SINGLE::SUF-OVR-M2::UAV-4->T::UAV-4,UAV-4,N::UAV-4::S2-SUF-OVR::T-Q1-SINGLE::SUF-OVR-M2::UAV-4,T::UAV-4,54.5,54.5,0,0,0,2647.640458975,PASS
S2-SUF-OVR,UAV-4::S::UAV-4->N::UAV-4::S2-SUF-OVR::T-Q1-SINGLE::SUF-OVR-M2::UAV-4,UAV-4,S::UAV-4,N::UAV-4::S2-SUF-OVR::T-Q1-SINGLE::SUF-OVR-M2::UAV-4,0,43.5,947.048045244,43.5,0.757091191,2334.180798482,PASS
S2-SUF-SEQ,UAV-1::N::UAV-1::S2-SUF-SEQ::T-Q1-SINGLE::SUF-SEQ-M1::UAV-1->T::UAV-1,UAV-1,N::UAV-1::S2-SUF-SEQ::T-Q1-SINGLE::SUF-SEQ-M1::UAV-1,T::UAV-1,45,45,0,0,0,2400,PASS
S2-SUF-SEQ,UAV-1::N::UAV-1::S2-SUF-SEQ::T-Q1-SINGLE::SUF-SEQ-M2::UAV-1->T::UAV-1,UAV-1,N::UAV-1::S2-SUF-SEQ::T-Q1-SINGLE::SUF-SEQ-M2::UAV-1,T::UAV-1,67,67,0,0,0,2400,PASS
S2-SUF-SEQ,UAV-1::S::UAV-1->N::UAV-1::S2-SUF-SEQ::T-Q1-SINGLE::SUF-SEQ-M1::UAV-1,UAV-1,S::UAV-1,N::UAV-1::S2-SUF-SEQ::T-Q1-SINGLE::SUF-SEQ-M1::UAV-1,0,34,680,34,0,2080,PASS
S2-SUF-SEQ,UAV-1::S::UAV-1->N::UAV-1::S2-SUF-SEQ::T-Q1-SINGLE::SUF-SEQ-M2::UAV-1,UAV-1,S::UAV-1,N::UAV-1::S2-SUF-SEQ::T-Q1-SINGLE::SUF-SEQ-M2::UAV-1,0,56,680,56,0,2080,PASS
S2-SUF-SEQ,UAV-2::N::UAV-2::S2-SUF-SEQ::T-Q2-TWO::SUF-SEQ-M3::UAV-2->T::UAV-2,UAV-2,N::UAV-2::S2-SUF-SEQ::T-Q2-TWO::SUF-SEQ-M3::UAV-2,T::UAV-2,83,83,0,0,0,2469.817807046,PASS
S2-SUF-SEQ,UAV-2::S::UAV-2->N::UAV-2::S2-SUF-SEQ::T-Q2-TWO::SUF-SEQ-M3::UAV-2,UAV-2,S::UAV-2,N::UAV-2::S2-SUF-SEQ::T-Q2-TWO::SUF-SEQ-M3::UAV-2,0,69,588.727441181,69,2.412123025,1888.279640308,PASS
S2-SUF-SEQ,UAV-3::N::UAV-3::S2-SUF-SEQ::T-Q2-THREE::SUF-SEQ-M3+SUF-SEQ-M4::UAV-3->T::UAV-3,UAV-3,N::UAV-3::S2-SUF-SEQ::T-Q2-THREE::SUF-SEQ-M3+SUF-SEQ-M4::UAV-3,T::UAV-3,89,89,0,0,0,2469.817807046,PASS
S2-SUF-SEQ,UAV-3::S::UAV-3->N::UAV-3::S2-SUF-SEQ::T-Q2-THREE::SUF-SEQ-M3+SUF-SEQ-M4::UAV-3,UAV-3,S::UAV-3,N::UAV-3::S2-SUF-SEQ::T-Q2-THREE::SUF-SEQ-M3+SUF-SEQ-M4::UAV-3,0,71,554.436651025,71,3.394776908,1647.54362613,PASS
